county,fips,collection_week,inpatient_beds,inpatient_beds_occupied,inpatient_percent_occupied,icu_beds,icu_beds_occupied,icu_percent_occupied
dorchester,24019,2020-10-02,NA,NA,NA,NA,NA,NA
frederick,24021,2020-10-02,238,145.4,0.6109243697478992,19,12.9,0.6789473684210526
garrett,24023,2020-10-02,NA,NA,NA,NA,NA,NA
harford,24025,2020-10-02,231.1,210.3,0.909995672868888,28,24.400000000000002,0.8714285714285716
howard,24027,2020-10-02,302,201,0.6655629139072847,30,15.6,0.52
kent,24029,2020-10-02,8.7,7.3,0.839080459770115,0,0,NA
montgomery,24031,2020-10-02,1127.7,881.0999999999999,0.7813248204309655,126,87.3,0.6928571428571428
prince_georges,24033,2020-10-02,873.1,641.7,0.7349673576909862,136.4,95.2,0.6979472140762464
queen_annes,24035,2020-10-02,NA,NA,NA,NA,NA,NA
st_marys,24037,2020-10-02,117,89.3,0.7632478632478632,18,9,0.5
somerset,24039,2020-10-02,NA,NA,NA,NA,NA,NA
talbot,24041,2020-10-02,71,65.7,0.9253521126760563,6.4,5.7,0.890625
washington,24043,2020-10-02,198,185.6,0.9373737373737373,24,14.7,0.6124999999999999
wicomico,24045,2020-10-02,348.3,232,0.6660924490381854,85.3,34,0.3985932004689332
worcester,24047,2020-10-02,45,29.1,0.6466666666666667,8,7.3,0.9125
baltimore_city,24510,2020-10-02,3080.2,2527.5,0.820563599766249,536.7,425.09999999999997,0.7920626048071547
allegany,24001,2020-10-09,172.9,161.3,0.9329091960670909,28,10.1,0.3607142857142857
anne_arundel,24003,2020-10-09,656.4,570.7,0.8694393662400977,67,50.8,0.7582089552238805
baltimore,24005,2020-10-09,899,757.2,0.8422691879866518,95.69999999999999,71.1,0.7429467084639498
calvert,24009,2020-10-09,51.3,48.3,0.9415204678362573,5.9,5.4,0.9152542372881356
caroline,24011,2020-10-09,NA,NA,NA,NA,NA,NA
carroll,24013,2020-10-09,132,123.6,0.9363636363636363,12,9.9,0.8250000000000001
cecil,24015,2020-10-09,79.3,55.7,0.7023959646910467,9.4,4.7,0.5
charles,24017,2020-10-09,120.3,86.6,0.7198669991687447,7.3,6.3,0.863013698630137
dorchester,24019,2020-10-09,NA,NA,NA,NA,NA,NA
frederick,24021,2020-10-09,238,156.3,0.6567226890756303,19,10.4,0.5473684210526316
garrett,24023,2020-10-09,NA,NA,NA,NA,NA,NA
harford,24025,2020-10-09,227.5,201.9,0.8874725274725275,30.7,25.900000000000002,0.8436482084690554
howard,24027,2020-10-09,302,195.6,0.647682119205298,30,18.7,0.6233333333333333
kent,24029,2020-10-09,10,6.9,0.6900000000000001,0,0,NA
montgomery,24031,2020-10-09,1243.3,1010.2,0.8125150808332664,143.7,99.6,0.6931106471816284
prince_georges,24033,2020-10-09,908.7,699.2,0.7694508638714648,147.6,102.39999999999999,0.6937669376693767
queen_annes,24035,2020-10-09,NA,NA,NA,NA,NA,NA
st_marys,24037,2020-10-09,112.6,94.6,0.8401420959147424,8.4,6.7,0.7976190476190476
somerset,24039,2020-10-09,NA,NA,NA,NA,NA,NA
talbot,24041,2020-10-09,42,37.9,0.9023809523809524,0,0,NA
washington,24043,2020-10-09,199.1,187,0.9392265193370166,24,15.7,0.6541666666666667
wicomico,24045,2020-10-09,344,233,0.6773255813953488,81,37.1,0.4580246913580247
worcester,24047,2020-10-09,45,34.7,0.7711111111111112,8,6.7,0.8375
baltimore_city,24510,2020-10-09,3015.7,2567.9,0.8515104287561761,520.5,429.2,0.8245917387127761
allegany,24001,2020-10-16,170,153.3,0.901764705882353,28,10.1,0.3607142857142857
anne_arundel,24003,2020-10-16,636,549.7,0.864308176100629,69.7,52.5,0.7532281205164992
baltimore,24005,2020-10-16,884.1,766.5,0.8669833729216152,89,67.6,0.7595505617977527
calvert,24009,2020-10-16,54,46.7,0.8648148148148148,6.4,5.7,0.890625
caroline,24011,2020-10-16,NA,NA,NA,NA,NA,NA
carroll,24013,2020-10-16,144.7,140.4,0.9702833448514169,12,9,0.75
cecil,24015,2020-10-16,79.3,53.3,0.6721311475409836,9.7,5.6,0.577319587628866
charles,24017,2020-10-16,127.4,92.6,0.726844583987441,7.9,7.3,0.9240506329113923
dorchester,24019,2020-10-16,NA,NA,NA,NA,NA,NA
frederick,24021,2020-10-16,237.9,157.4,0.6616225304749895,18.9,12.6,0.6666666666666667
garrett,24023,2020-10-16,NA,NA,NA,NA,NA,NA
harford,24025,2020-10-16,214.6,199,0.9273066169617894,31,24.3,0.7838709677419355
howard,24027,2020-10-16,302,194.7,0.6447019867549668,30,18.6,0.62
kent,24029,2020-10-16,18.1,5.9,0.3259668508287293,0,0,NA
montgomery,24031,2020-10-16,1245.9,1030.6,0.8271931936752547,168.9,104.4,0.6181172291296625
prince_georges,24033,2020-10-16,877.9,678.7,0.7730948855222691,135.7,105.2,0.7752394988946206
queen_annes,24035,2020-10-16,NA,NA,NA,NA,NA,NA
st_marys,24037,2020-10-16,101.4,91.3,0.9003944773175542,8.3,7,0.8433734939759036
somerset,24039,2020-10-16,NA,NA,NA,NA,NA,NA
talbot,24041,2020-10-16,NA,NA,NA,NA,NA,NA
washington,24043,2020-10-16,208.1,197.4,0.9485824123017781,24,16.7,0.6958333333333333
wicomico,24045,2020-10-16,344,241.4,0.7017441860465117,81,35.1,0.43333333333333335
worcester,24047,2020-10-16,45.4,34,0.748898678414097,7.7,5.9,0.7662337662337663
baltimore_city,24510,2020-10-16,2955.8,2563.9,0.8674132214628865,514.5,429.1,0.834013605442177
allegany,24001,2020-10-23,172.7,159.3,0.9224088013896933,28,13.3,0.47500000000000003
anne_arundel,24003,2020-10-23,609.3,563,0.9240111603479403,67,54,0.8059701492537313
baltimore,24005,2020-10-23,827.7,723.5,0.8741089766823728,91.6,71,0.7751091703056769
calvert,24009,2020-10-23,50.2,45,0.896414342629482,5.8,4.2,0.7241379310344828
caroline,24011,2020-10-23,NA,NA,NA,NA,NA,NA
carroll,24013,2020-10-23,138.7,133.9,0.9653929343907716,12.1,9.6,0.7933884297520661
cecil,24015,2020-10-23,78.3,54.6,0.6973180076628352,8.9,5.3,0.5955056179775281
charles,24017,2020-10-23,122.1,77,0.6306306306306306,7.6,6.6,0.868421052631579
dorchester,24019,2020-10-23,NA,NA,NA,NA,NA,NA
frederick,24021,2020-10-23,238,163,0.6848739495798319,19,11,0.5789473684210527
garrett,24023,2020-10-23,NA,NA,NA,NA,NA,NA
harford,24025,2020-10-23,217.6,201.4,0.9255514705882354,30.6,23,0.7516339869281046
howard,24027,2020-10-23,302,194.7,0.6447019867549668,30,18.4,0.6133333333333333
kent,24029,2020-10-23,14,9.4,0.6714285714285715,0,0,NA
