date,county,prob_deaths,fips,new_prob_deaths
2020-08-14,caroline,0,24011,0
2020-08-14,carroll,3,24013,0
2020-08-14,cecil,1,24015,0
2020-08-14,charles,2,24017,0
2020-08-14,dorchester,0,24019,0
2020-08-14,frederick,7,24021,0
2020-08-14,garrett,0,24023,0
2020-08-14,harford,3,24025,0
2020-08-14,howard,6,24027,0
2020-08-14,kent,1,24029,0
2020-08-14,montgomery,39,24031,0
2020-08-14,prince_georges,23,24033,0
2020-08-14,queen_annes,1,24035,0
2020-08-14,somerset,0,24039,0
2020-08-14,st_marys,0,24037,0
2020-08-14,talbot,0,24041,0
2020-08-14,washington,0,24043,0
2020-08-14,wicomico,0,24045,0
2020-08-14,worcester,1,24047,0
2020-08-14,unknown,0,NA,0
2020-08-15,allegany,0,24001,0
2020-08-15,anne_arundel,10,24003,0
2020-08-15,baltimore,23,24005,0
2020-08-15,baltimore_city,15,24510,0
2020-08-15,calvert,1,24009,0
2020-08-15,caroline,0,24011,0
2020-08-15,carroll,3,24013,0
2020-08-15,cecil,1,24015,0
2020-08-15,charles,2,24017,0
2020-08-15,dorchester,0,24019,0
2020-08-15,frederick,7,24021,0
2020-08-15,garrett,0,24023,0
2020-08-15,harford,3,24025,0
2020-08-15,howard,6,24027,0
2020-08-15,kent,1,24029,0
2020-08-15,montgomery,39,24031,0
2020-08-15,prince_georges,23,24033,0
2020-08-15,queen_annes,1,24035,0
2020-08-15,somerset,0,24039,0
2020-08-15,st_marys,0,24037,0
2020-08-15,talbot,0,24041,0
2020-08-15,washington,0,24043,0
2020-08-15,wicomico,0,24045,0
2020-08-15,worcester,1,24047,0
2020-08-15,unknown,1,NA,1
2020-08-16,allegany,0,24001,0
2020-08-16,anne_arundel,10,24003,0
2020-08-16,baltimore,23,24005,0
2020-08-16,baltimore_city,15,24510,0
2020-08-16,calvert,1,24009,0
2020-08-16,caroline,0,24011,0
2020-08-16,carroll,3,24013,0
2020-08-16,cecil,1,24015,0
2020-08-16,charles,2,24017,0
2020-08-16,dorchester,0,24019,0
2020-08-16,frederick,7,24021,0
2020-08-16,garrett,0,24023,0
2020-08-16,harford,3,24025,0
2020-08-16,howard,6,24027,0
2020-08-16,kent,1,24029,0
2020-08-16,montgomery,39,24031,0
2020-08-16,prince_georges,23,24033,0
2020-08-16,queen_annes,1,24035,0
2020-08-16,somerset,0,24039,0
2020-08-16,st_marys,0,24037,0
2020-08-16,talbot,0,24041,0
2020-08-16,washington,0,24043,0
2020-08-16,wicomico,0,24045,0
2020-08-16,worcester,1,24047,0
2020-08-16,unknown,1,NA,0
2020-08-17,allegany,0,24001,0
2020-08-17,anne_arundel,10,24003,0
2020-08-17,baltimore,23,24005,0
2020-08-17,baltimore_city,15,24510,0
2020-08-17,calvert,1,24009,0
2020-08-17,caroline,0,24011,0
2020-08-17,carroll,3,24013,0
2020-08-17,cecil,1,24015,0
2020-08-17,charles,2,24017,0
2020-08-17,dorchester,0,24019,0
2020-08-17,frederick,7,24021,0
2020-08-17,garrett,0,24023,0
2020-08-17,harford,3,24025,0
2020-08-17,howard,6,24027,0
2020-08-17,kent,1,24029,0
2020-08-17,montgomery,39,24031,0
2020-08-17,prince_georges,23,24033,0
2020-08-17,queen_annes,1,24035,0
2020-08-17,somerset,0,24039,0
2020-08-17,st_marys,0,24037,0
2020-08-17,talbot,0,24041,0
2020-08-17,washington,0,24043,0
2020-08-17,wicomico,0,24045,0
2020-08-17,worcester,1,24047,0
2020-08-17,unknown,1,NA,0
2020-08-18,allegany,0,24001,0
2020-08-18,anne_arundel,10,24003,0
2020-08-18,baltimore,23,24005,0
2020-08-18,baltimore_city,15,24510,0
2020-08-18,calvert,1,24009,0
2020-08-18,caroline,0,24011,0
2020-08-18,carroll,3,24013,0
2020-08-18,cecil,1,24015,0
2020-08-18,charles,2,24017,0
2020-08-18,dorchester,0,24019,0
2020-08-18,frederick,7,24021,0
2020-08-18,garrett,0,24023,0
2020-08-18,harford,3,24025,0
2020-08-18,howard,6,24027,0
2020-08-18,kent,1,24029,0
2020-08-18,montgomery,39,24031,0
2020-08-18,prince_georges,23,24033,0
2020-08-18,queen_annes,1,24035,0
2020-08-18,somerset,0,24039,0
2020-08-18,st_marys,0,24037,0
2020-08-18,talbot,0,24041,0
2020-08-18,washington,0,24043,0
2020-08-18,wicomico,0,24045,0
2020-08-18,worcester,1,24047,0
2020-08-18,unknown,3,NA,2
2020-08-19,allegany,0,24001,0
2020-08-19,anne_arundel,10,24003,0
2020-08-19,baltimore,23,24005,0
2020-08-19,baltimore_city,15,24510,0
2020-08-19,calvert,1,24009,0
2020-08-19,caroline,0,24011,0
2020-08-19,carroll,3,24013,0
2020-08-19,cecil,1,24015,0
2020-08-19,charles,2,24017,0
2020-08-19,dorchester,0,24019,0
2020-08-19,frederick,7,24021,0
2020-08-19,garrett,0,24023,0
2020-08-19,harford,3,24025,0
2020-08-19,howard,6,24027,0
2020-08-19,kent,1,24029,0
2020-08-19,montgomery,40,24031,1
2020-08-19,prince_georges,23,24033,0
2020-08-19,queen_annes,1,24035,0
2020-08-19,somerset,0,24039,0
2020-08-19,st_marys,0,24037,0
2020-08-19,talbot,0,24041,0
2020-08-19,washington,0,24043,0
2020-08-19,wicomico,0,24045,0
2020-08-19,worcester,1,24047,0
2020-08-19,unknown,2,NA,0
2020-08-20,allegany,0,24001,0
2020-08-20,anne_arundel,10,24003,0
2020-08-20,baltimore,23,24005,0
2020-08-20,baltimore_city,15,24510,0
2020-08-20,calvert,1,24009,0
2020-08-20,caroline,0,24011,0
2020-08-20,carroll,3,24013,0
2020-08-20,cecil,1,24015,0
2020-08-20,charles,2,24017,0
2020-08-20,dorchester,0,24019,0
2020-08-20,frederick,7,24021,0
2020-08-20,garrett,0,24023,0
2020-08-20,harford,3,24025,0
2020-08-20,howard,6,24027,0
2020-08-20,kent,1,24029,0
2020-08-20,montgomery,39,24031,0
2020-08-20,prince_georges,23,24033,0
2020-08-20,queen_annes,1,24035,0
2020-08-20,somerset,0,24039,0
2020-08-20,st_marys,0,24037,0
2020-08-20,talbot,0,24041,0
2020-08-20,washington,0,24043,0
2020-08-20,wicomico,0,24045,0
2020-08-20,worcester,1,24047,0
2020-08-20,unknown,2,NA,0
2020-08-21,allegany,0,24001,0
2020-08-21,anne_arundel,10,24003,0
2020-08-21,baltimore,23,24005,0
2020-08-21,baltimore_city,16,24510,1
2020-08-21,calvert,1,24009,0
2020-08-21,caroline,0,24011,0
2020-08-21,carroll,3,24013,0
2020-08-21,cecil,1,24015,0
2020-08-21,charles,2,24017,0
2020-08-21,dorchester,0,24019,0
2020-08-21,frederick,7,24021,0
2020-08-21,garrett,0,24023,0
2020-08-21,harford,3,24025,0
2020-08-21,howard,6,24027,0
2020-08-21,kent,1,24029,0
2020-08-21,montgomery,39,24031,0
2020-08-21,prince_georges,23,24033,0
2020-08-21,queen_annes,1,24035,0
2020-08-21,somerset,0,24039,0
2020-08-21,st_marys,0,24037,0
2020-08-21,talbot,0,24041,0
2020-08-21,washington,0,24043,0
2020-08-21,wicomico,0,24045,0
2020-08-21,worcester,1,24047,0
2020-08-21,unknown,1,NA,0
2020-08-22,allegany,0,24001,0
2020-08-22,anne_arundel,10,24003,0
2020-08-22,baltimore,23,24005,0
2020-08-22,baltimore_city,16,24510,0
2020-08-22,calvert,1,24009,0
2020-08-22,caroline,0,24011,0
2020-08-22,carroll,3,24013,0
2020-08-22,cecil,1,24015,0
2020-08-22,charles,2,24017,0
2020-08-22,dorchester,0,24019,0
2020-08-22,frederick,7,24021,0
2020-08-22,garrett,0,24023,0
2020-08-22,harford,3,24025,0
2020-08-22,howard,6,24027,0
2020-08-22,kent,1,24029,0
2020-08-22,montgomery,39,24031,0
2020-08-22,prince_georges,23,24033,0
2020-08-22,queen_annes,1,24035,0
2020-08-22,somerset,0,24039,0
2020-08-22,st_marys,0,24037,0
2020-08-22,talbot,0,24041,0
2020-08-22,washington,0,24043,0
2020-08-22,wicomico,0,24045,0
2020-08-22,worcester,1,24047,0
2020-08-22,unknown,2,NA,1
2020-08-23,allegany,0,24001,0
2020-08-23,anne_arundel,10,24003,0
2020-08-23,baltimore,23,24005,0
2020-08-23,baltimore_city,16,24510,0
2020-08-23,calvert,1,24009,0
2020-08-23,caroline,0,24011,0
2020-08-23,carroll,3,24013,0
2020-08-23,cecil,1,24015,0
2020-08-23,charles,2,24017,0
2020-08-23,dorchester,0,24019,0
2020-08-23,frederick,7,24021,0
2020-08-23,garrett,0,24023,0
2020-08-23,harford,3,24025,0
2020-08-23,howard,6,24027,0
2020-08-23,kent,1,24029,0
2020-08-23,montgomery,39,24031,0
2020-08-23,prince_georges,23,24033,0
2020-08-23,queen_annes,1,24035,0
2020-08-23,somerset,0,24039,0
2020-08-23,st_marys,0,24037,0
2020-08-23,talbot,0,24041,0
2020-08-23,washington,0,24043,0
2020-08-23,wicomico,0,24045,0
2020-08-23,worcester,1,24047,0
2020-08-23,unknown,2,NA,0
2020-08-24,allegany,0,24001,0
2020-08-24,anne_arundel,10,24003,0
2020-08-24,baltimore,23,24005,0
2020-08-24,baltimore_city,16,24510,0
2020-08-24,calvert,1,24009,0
2020-08-24,caroline,0,24011,0
2020-08-24,carroll,3,24013,0
2020-08-24,cecil,1,24015,0
2020-08-24,charles,2,24017,0
2020-08-24,dorchester,0,24019,0
2020-08-24,frederick,7,24021,0
2020-08-24,garrett,0,24023,0
2020-08-24,harford,3,24025,0
2020-08-24,howard,6,24027,0
2020-08-24,kent,1,24029,0
2020-08-24,montgomery,39,24031,0
2020-08-24,prince_georges,23,24033,0
2020-08-24,queen_annes,1,24035,0
2020-08-24,somerset,0,24039,0
2020-08-24,st_marys,0,24037,0
2020-08-24,talbot,0,24041,0
2020-08-24,washington,0,24043,0
2020-08-24,wicomico,0,24045,0
2020-08-24,worcester,1,24047,0
2020-08-24,unknown,3,NA,1
2020-08-25,allegany,0,24001,0
2020-08-25,anne_arundel,10,24003,0
2020-08-25,baltimore,23,24005,0
2020-08-25,baltimore_city,16,24510,0
2020-08-25,calvert,1,24009,0
2020-08-25,caroline,0,24011,0
2020-08-25,carroll,3,24013,0
2020-08-25,cecil,1,24015,0
2020-08-25,charles,2,24017,0
2020-08-25,dorchester,0,24019,0
2020-08-25,frederick,7,24021,0
2020-08-25,garrett,0,24023,0
2020-08-25,harford,3,24025,0
2020-08-25,howard,6,24027,0
2020-08-25,kent,1,24029,0
2020-08-25,montgomery,39,24031,0
2020-08-25,prince_georges,23,24033,0
2020-08-25,queen_annes,1,24035,0
2020-08-25,somerset,0,24039,0
2020-08-25,st_marys,0,24037,0
2020-08-25,talbot,0,24041,0
2020-08-25,washington,0,24043,0
2020-08-25,wicomico,0,24045,0
2020-08-25,worcester,1,24047,0
2020-08-25,unknown,6,NA,3
2020-08-26,allegany,0,24001,0
2020-08-26,anne_arundel,10,24003,0
2020-08-26,baltimore,24,24005,1
2020-08-26,baltimore_city,19,24510,3
2020-08-26,calvert,1,24009,0
2020-08-26,caroline,0,24011,0
2020-08-26,carroll,3,24013,0
2020-08-26,cecil,2,24015,1
2020-08-26,charles,2,24017,0
2020-08-26,dorchester,0,24019,0
2020-08-26,frederick,7,24021,0
2020-08-26,garrett,0,24023,0
2020-08-26,harford,3,24025,0
2020-08-26,howard,6,24027,0
2020-08-26,kent,1,24029,0
2020-08-26,montgomery,39,24031,0
2020-08-26,prince_georges,23,24033,0
2020-08-26,queen_annes,1,24035,0
2020-08-26,somerset,0,24039,0
2020-08-26,st_marys,0,24037,0
2020-08-26,talbot,0,24041,0
2020-08-26,washington,0,24043,0
2020-08-26,wicomico,0,24045,0
2020-08-26,worcester,1,24047,0
2020-08-26,unknown,1,NA,0
2020-08-27,allegany,0,24001,0
2020-08-27,anne_arundel,10,24003,0
2020-08-27,baltimore,24,24005,0
2020-08-27,baltimore_city,19,24510,0
2020-08-27,calvert,1,24009,0
2020-08-27,caroline,0,24011,0
2020-08-27,carroll,3,24013,0
2020-08-27,cecil,1,24015,0
2020-08-27,charles,2,24017,0
2020-08-27,dorchester,0,24019,0
2020-08-27,frederick,7,24021,0
2020-08-27,garrett,0,24023,0
2020-08-27,harford,3,24025,0
