date,zip,cases,new_cases,population,cases_per_100k
2020-10-05,20747,1069,6,39946,2676.1127522154907
2020-10-05,20748,1017,2,38011,2675.541290679014
2020-10-05,20751,31,0,2240,1383.9285714285713
2020-10-05,20754,81,0,6910,1172.2141823444283
2020-10-05,20755,58,0,10297,563.2708555890065
2020-10-05,20758,0,0,466,0
2020-10-05,20759,76,1,5011,1516.6633406505687
2020-10-05,20762,25,0,2964,843.4547908232119
2020-10-05,20763,64,0,2113,3028.8689067676287
2020-10-05,20764,40,0,4177,957.6250897773522
2020-10-05,20765,0,0,415,0
2020-10-05,20769,197,1,7439,2648.205403952144
2020-10-05,20770,707,2,24629,2870.5996995411915
2020-10-05,20772,1061,3,44948,2360.505472991012
2020-10-05,20774,1149,0,46812,2454.498846449628
2020-10-05,20776,30,0,3149,952.683391552874
2020-10-05,20777,29,0,3616,801.9911504424779
2020-10-05,20778,26,0,1972,1318.4584178498985
2020-10-05,20779,12,0,985,1218.274111675127
2020-10-05,20781,517,2,11626,4446.92929640461
2020-10-05,20782,1638,1,32553,5031.79430467238
2020-10-05,20783,2986,3,45559,6554.13858952128
2020-10-05,20784,1591,4,30184,5271.004505698384
2020-10-05,20785,1405,1,37601,3736.6027499268635
2020-10-05,20794,735,2,16601,4427.444129871695
2020-10-05,20812,0,0,325,0
2020-10-05,20814,403,0,28930,1393.0176287590737
2020-10-05,20815,347,2,30512,1137.257472469848
2020-10-05,20816,138,0,16367,843.1600171075946
2020-10-05,20817,419,2,36681,1142.28074479976
2020-10-05,20818,14,0,2019,693.4125804853887
2020-10-05,20832,363,0,26448,1372.5045372050818
2020-10-05,20833,89,0,7750,1148.3870967741937
2020-10-05,20837,54,0,6225,867.4698795180723
2020-10-05,20838,0,0,252,0
2020-10-05,20839,0,0,100,0
2020-10-05,20841,97,0,10481,925.4842095219922
2020-10-05,20842,17,0,1712,992.9906542056074
2020-10-05,20850,948,2,51568,1838.3493639466335
2020-10-05,20851,374,9,15106,2475.837415596452
2020-10-05,20852,639,2,46904,1362.3571550400818
2020-10-05,20853,767,2,31178,2460.0679966643143
2020-10-05,20854,598,6,49194,1215.5953978127416
2020-10-05,20855,260,1,14302,1817.9275625786604
2020-10-05,20860,98,0,2805,3493.761140819964
2020-10-05,20861,25,0,1665,1501.5015015015015
2020-10-05,20862,0,0,327,0
2020-10-05,20866,345,2,16171,2133.4487663100613
2020-10-05,20868,11,2,864,1273.148148148148
2020-10-05,20871,242,0,20008,1209.5161935225908
2020-10-05,20872,208,0,12940,1607.41885625966
2020-10-05,20874,1111,11,61045,1819.9688754197723
2020-10-05,20876,537,5,28919,1856.9106815588366
2020-10-05,20877,1386,9,38885,3564.356435643564
2020-10-05,20878,862,5,64126,1344.2285500421046
2020-10-05,20879,685,3,27871,2457.7517850095082
2020-10-05,20882,208,0,13450,1546.4684014869888
2020-10-05,20886,1005,3,34100,2947.214076246334
2020-10-05,20895,365,0,19637,1858.736059479554
2020-10-05,20896,0,0,929,0
2020-10-05,20899,0,0,260,0
2020-10-05,20901,962,4,36154,2660.8397411074848
2020-10-05,20902,1921,3,52484,3660.1630973248994
2020-10-05,20903,1309,7,26206,4995.039303976188
2020-10-05,20904,1768,7,57035,3099.8509687034275
2020-10-05,20905,346,4,18123,1909.1761849583402
2020-10-05,20906,2509,10,70174,3575.398295665061
2020-10-05,20910,818,2,42868,1908.1832602407392
2020-10-05,20912,708,1,26239,2698.2735622546593
2020-10-05,21001,312,0,24453,1275.9170653907497
2020-10-05,21005,21,0,2723,771.2082262210797
2020-10-05,21009,427,2,29997,1423.4756809014236
2020-10-05,21010,0,0,217,0
2020-10-05,21012,357,1,21772,1639.7207422377367
2020-10-05,21013,37,1,4608,802.9513888888888
2020-10-05,21014,458,0,35681,1283.5963117625627
2020-10-05,21015,307,0,29192,1051.6579884899973
2020-10-05,21017,65,0,6597,985.2963468243141
2020-10-05,21028,22,0,3021,728.2356835484939
2020-10-05,21029,159,0,10595,1500.7078810759792
2020-10-05,21030,582,0,25637,2270.1564145570856
2020-10-05,21031,0,0,0,NaN
2020-10-05,21032,140,2,8276,1691.6384726921217
2020-10-05,21034,33,0,3475,949.6402877697842
2020-10-05,21035,76,0,8423,902.2913451264394
2020-10-05,21036,32,0,2275,1406.5934065934066
2020-10-05,21037,373,4,21524,1732.9492659356997
2020-10-05,21040,430,4,24424,1760.5633802816901
