date,county,fips,daily,average
2020-04-13,allegany,24001,0.1333,0.0834
2020-04-13,anne_arundel,24003,0.2727,0.2187
2020-04-13,baltimore,24005,0.1674,0.1438
2020-04-13,baltimore_city,24510,0.2426,0.222
2020-04-13,calvert,24009,0.425,0.22399999999999998
2020-04-13,caroline,24011,0.2667,0.13119999999999998
2020-04-13,carroll,24013,0.087,0.1557
2020-04-13,cecil,24015,0.1852,0.16899999999999998
2020-04-13,charles,24017,0.2353,0.2041
2020-04-13,dorchester,24019,0.2857,0.1241
2020-04-13,frederick,24021,0.2266,0.2328
2020-04-13,garrett,24023,0,0.0128
2020-04-13,harford,24025,0.11900000000000001,0.1072
2020-04-13,howard,24027,0.2981,0.2412
2020-04-13,kent,24029,0,0.13369999999999999
2020-04-13,montgomery,24031,0.3125,0.2862
2020-04-13,prince_georges,24033,0.3577,0.3665
2020-04-13,queen_annes,24035,0,0.039900000000000005
2020-04-13,somerset,24039,1,0.16670000000000001
2020-04-13,st_marys,24037,0.1707,0.1394
2020-04-13,talbot,24041,0,0.07719999999999999
2020-04-13,washington,24043,0.1091,0.1293
2020-04-13,wicomico,24045,0.3778,0.253
2020-04-13,worcester,24047,0.1429,0.1216
2020-04-14,allegany,24001,0,0.0691
2020-04-14,anne_arundel,24003,0.3333,0.24489999999999998
2020-04-14,baltimore,24005,0.1351,0.15289999999999998
2020-04-14,baltimore_city,24510,0.22829999999999998,0.2167
2020-04-14,calvert,24009,0.25,0.2455
2020-04-14,caroline,24011,0,0.0971
2020-04-14,carroll,24013,0.125,0.1422
2020-04-14,cecil,24015,0.4167,0.2143
2020-04-14,charles,24017,0.2712,0.2143
2020-04-14,dorchester,24019,0,0.10369999999999999
2020-04-14,frederick,24021,0.29410000000000003,0.2589
2020-04-14,garrett,24023,0,0.0154
2020-04-14,harford,24025,0.1364,0.115
2020-04-14,howard,24027,0.3065,0.2551
2020-04-14,kent,24029,0,0.106
2020-04-14,montgomery,24031,0.313,0.29350000000000004
2020-04-14,prince_georges,24033,0.4205,0.3736
2020-04-14,queen_annes,24035,0,0.039900000000000005
2020-04-14,somerset,24039,0,0.16670000000000001
2020-04-14,st_marys,24037,0,0.12240000000000001
2020-04-14,talbot,24041,0,0.07719999999999999
2020-04-14,washington,24043,0.1429,0.1259
2020-04-14,wicomico,24045,0.619,0.3343
2020-04-14,worcester,24047,0,0.1216
2020-04-15,allegany,24001,0,0.0691
2020-04-15,anne_arundel,24003,0.2401,0.2509
2020-04-15,baltimore,24005,0.2102,0.1631
2020-04-15,baltimore_city,24510,0.37200000000000005,0.2426
2020-04-15,calvert,24009,0.1304,0.2314
2020-04-15,caroline,24011,0.2,0.1215
2020-04-15,carroll,24013,0.0455,0.1297
2020-04-15,cecil,24015,0.4167,0.2602
2020-04-15,charles,24017,0.2286,0.2182
2020-04-15,dorchester,24019,0,0.10369999999999999
2020-04-15,frederick,24021,0.16670000000000001,0.2601
2020-04-15,garrett,24023,0,0
2020-04-15,harford,24025,0.13849999999999998,0.1173
2020-04-15,howard,24027,0.3111,0.2696
2020-04-15,kent,24029,0.25,0.1159
2020-04-15,montgomery,24031,0.322,0.3037
2020-04-15,prince_georges,24033,0.431,0.3834
2020-04-15,queen_annes,24035,0,0.035699999999999996
2020-04-15,somerset,24039,0,0.16670000000000001
2020-04-15,st_marys,24037,0.1429,0.1281
2020-04-15,talbot,24041,0,0.0719
2020-04-15,washington,24043,0.1957,0.13699999999999998
2020-04-15,wicomico,24045,0.6429,0.3958
